index,Reference,Publication Year,Title,First Author,Dataset,Language,Media’s Country,Method,Model,Accuracy,F1,notes,Date of data extraction,Confirmation that the study was eligible to be included
36,hanawa_sally_2019,2019,The sally smedley hyperpartisan news detector at SemEval-2019 task 4,"Hanawa, K.",Semeval-2019,English,U.S,ML,Linear Classifier,0.81,0.80,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",29/11/2023,Yes
37,isbister_dick-preston_2019,2019,Dick-preston and morbo at SemEval-2019 task 4: Transfer learning for hyperpartisan news detection,"Isibster, T.",Semeval-2019,English,U.S,DL,LSTM,0.80,0.80,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",23/11/2023,Yes
38,yeh_tom_2019,2019,Tom jumbo-grumbo at SemEval-2019 task 4: Hyperpartisan news detection with GloVe vectors and SVM,"Yeh, C.L.",Semeval-2019,English,U.S,ML,SVM,0.80,0.79,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",22/11/2023,Yes
39,palic_takelab_2019,2019,TakeLab at SemEval-2019 task 4: Hyperpartisan news detection,"Palić, N.",Semeval-2019,English,U.S,ML,SVC,0.79,0.76,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",24/11/2023,Yes
40,da_silva_politically-oriented_2023,2019,Politically-oriented information inference from text,"Da Silva, S.C.",Semeval-2019,English,U.S,DL,BERT,0.78,0.77,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",27/11/2023,Yes
41,mutlu_team_2019,2019,Team howard beale at SemEval-2019 task 4: Hyperpartisan news detection with BERT,"Mutlu, O.",Semeval-2019,English,U.S,DL,BERT,0.78,0.76,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",15/11/2023,Yes
42,drissi_harvey_2019,2019,Harvey mudd college at SemEval-2019 task 4: The clint buchanan hyperpartisan news detector,"Drissi, M.",Semeval-2019,English,U.S,DL,BERT,0.77,0.75,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",29/11/2023,Yes
43,stevanoski_team_2019,2019,Team ned leeds at SemEval-2019 task 4: Exploring language indicators of hyperpartisan reporting,"Stevanoski, B.",Semeval-2019,English,U.S,ML,Random Forest,0.77,0.74,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",30/11/2023,Yes
44,lee_team_2019,2019,Team yeon-zi at SemEval-2019 task 4: Hyperpartisan news detection by de-noising weakly-labeled data,"Lee, N.",Semeval-2019,English,U.S,DL,BERT,0.76,0.76,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",30/11/2023,Yes
45,nguyen_nlpuit_2019,2019,NLP@UIT at SemEval-2019 task 4: The paparazzo hyperpartisan news detector,"Nguyen, D.V.",Semeval-2019,English,U.S,ML,SVM,0.75,0.74,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",29/11/2023,Yes
46,agerri_doris_2019,2019,Doris martin at {SemEval}-2019 task 4: Hyperpartisan news detection with generic semi-supervised features,"Agerri, R.",Semeval-2019,English,U.S,ML,Maxent,0.74,0.73,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",19/11/2023,Yes
47,chen_harvey_2019,2019,Harvey mudd college at {SemEval}-2019 task 4: The carl kolchak hyperpartisan news detector,"Chen, C.",Semeval-2019,English,U.S,ML,Naive Bayes,0.74,0.74,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",18/11/2023,Yes
48,joo_steve_2019,2019,Steve martin at {SemEval}-2019 task 4: Ensemble learning model for detecting hyperpartisan news,"Joo, Y.",Semeval-2019,English,U.S,DL,CNN,0.74,0.70,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",16/11/2023,Yes
49,perez-almendros_cardiff_2019,2019,Cardiff university at {SemEval}-2019 task 4: Linguistic features for hyperpartisan news detection,"Pérez-Almendros, C.",Semeval-2019,English,U.S,DL,CNN + LSTM,0.74,0.71,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",30/11/2023,Yes
50,saleh_team_2019,2019,Team {QCRI}-{MIT} at {SemEval}-2019 task 4: Propaganda analysis meets hyperpartisan news detection,"Saleh, A.",Semeval-2019,English,U.S,ML,Logistic Regression,0.73,0.73,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",01/12/2023,Yes
51,cruz_team_2019,2019,Team fernando-pessa at {SemEval}-2019 task 4: Back to basics in hyperpartisan news detection,"Cruz, A.",Semeval-2019,English,U.S,ML,Random Forest,0.72,0.67,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",03/12/2023,Yes
52,moreno_rouletabille_2019,2019,Rouletabille at {SemEval}-2019 task 4: Neural network baseline for identification of hyperpartisan publishers,"Moreno, J.G.",Semeval-2019,English,U.S,DL,HAN,0.72,0.69,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",07/12/2023,Yes
53,sengupta_duluth_2019,2019,Duluth at {SemEval}-2019 task 4: The pioquinto manterola hyperpartisan news detector,"Sengupta, S.",Semeval-2019,English,U.S,ML,Logistic Regression,0.70,0.68,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",03/12/2023,Yes
54,zhang_ubc-nlp_2019,2019,{UBC}-{NLP} at {SemEval}-2019 task 4: Hyperpartisan news detection with attention-based bi-{LSTMs},"Zhang, C.",Semeval-2019,English,U.S,DL,LSTM,0.68,0.63,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",01/12/2023,Yes
55,zehe_team_2019,2019,Team xenophilius lovegood at {SemEval}-2019 task 4: Hyperpartisanship classification using convolutional neural networks,"Zehe, A.",Semeval-2019,English,U.S,DL,CNN,0.67,0.74,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",13/11/2023,Yes
56,amason_harvey_2019,2019,Harvey mudd college at {SemEval}-2019 task 4: The d.x. beaumont hyperpartisan news detector,"Amason, E.",Semeval-2019,English,U.S,ML,Naive Bayes,0.65,0.73,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",13/11/2023,Yes
57,shaprin_team_2019,2019,Team jack ryder at {SemEval}-2019 task 4: Using {BERT} representations for detecting hyperpartisan news,"Shaprin, D.",Semeval-2019,English,U.S,DL,BERT,0.64,0.64,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",01/12/2023,Yes
58,anthonio_team_2019,2019,Team kermit-the-frog at {SemEval}-2019 task 4: Bias detection through sentiment analysis and simple linguistic features,"Anthonio, T.",Semeval-2019,English,U.S,ML,SVM,0.62,0.69,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",13/11/2023,Yes
59,farber_team_2019,2019,Team peter brinkmann at {SemEval}-2019 task 4: Detecting biased news articles using convolutional neural networks,"Färber, M.",Semeval-2019,English,U.S,DL,CNN,0.60,0.70,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",01/12/2023,Yes
60,cramerus_team_2019,2019,Team kit kittredge at {SemEval}-2019 task 4: {LSTM} voting system,"Cramerus, R.",Semeval-2019,English,U.S,DL,LSTM,0.58,0.68,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",13/11/2023,Yes
61,afsarmanesh_team_2019,2019,Team harry friberg at {SemEval}-2019 task 4: Identifying hyperpartisan news through editorially defined metatopics,"Afsarmanesh, N.",Semeval-2019,English,U.S,Other,Gagavai Explorer,0.56,0.68,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",07/12/2023,Yes
62,baly_multi-task_2019,2019,Multi-task ordinal regression for jointly predicting the trustworthiness and the leading political ideology of news media,"Baly, R.",MBFC,English,U.S,ML,Copula Ordinal Regression,U/A,U/A,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",01/12/2023,Yes
63,gupta_clark_2019,2019,Clark kent at {SemEval}-2019 task 4: Stylometric insights into hyperpartisan news detection,"Gupta, V.",Semeval-2019,English,U.S,ML,XGBoost,0.55,0.28,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",01/12/2023,Yes
64,ning_team_2019,2019,Team peter-parker at {SemEval}-2019 task 4: {BERT}-based method in hyperpartisan news detection,"Ning, Z.",Semeval-2019,English,U.S,DL,BERT,0.50,0.61,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",07/12/2023,Yes
65,bestgen_tintin_2019,2019,Tintin at {SemEval}-2019 task 4: Detecting hyperpartisan news article with only simple tokens,"Bestgen, Y.",Semeval-2019 by-publisher,English,U.S,ML,Logistic Regression,0.70,0.68,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",07/12/2023,Yes
66,papadopoulou_brenda_2019,2019,Brenda starr at {SemEval}-2019 task 4: Hyperpartisan news detection,"Papadopoulou, O.",Semeval-2019 by-publisher,English,U.S,DL,CNN,0.66,0.70,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",13/11/2023,Yes
67,chakravartula_fermi_2019,2019,Fermi at {SemEval}-2019 task 4: The sarah-jane-smith hyperpartisan news detector,"Chakravartula, N.",Semeval-2019 by-publisher,English,U.S,ML,Random Forest,0.61,0.66,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",01/12/2023,Yes
68,huang_hyperpartisan_2019,2019,Hyperpartisan news and articles detection using {BERT} and {ELMo},"Huang, G.K.W.",Semeval-2019 by-article + by-publisher,English,U.S,DL,BERT,0.68,U/A,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",13/11/2023,Yes
69,gangula_detecting_2019,2019,Detecting political bias in news articles using headline attention,"Gangula, R.R.R.",Telugu,Telugu,India,DL,HAN,0.89,U/A,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",04/12/2023,Yes
70,potthast_stylometric_2018,2019,A stylometric inquiry into hyperpartisan and fake news,"Potthast, M.",The BuzzFeed-Webis Fake News Corpus 2016,English,U.S,ML,U/A,0.75,0.78,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",13/11/2023,Yes
71,alabdulkarim_spider-jerusalem_2019,2019,Spider-jerusalem at {SemEval}-2019 task 4: Hyperpartisan news detection,"Alabdulkarim, A. ",Semeval-2019,English,U.S,ML,SVM,0.74,0.71,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",04/12/2023,Yes
72,kiesel_semeval-2019_2019,2019,SemEval-2019 task 4: Hyperpartisan news detection,"Kiesel, J.",Semeval-2019,English,U.S,U/A,U/A,U/A,U/A,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",04/12/2023,Yes
73,Norregaard_NELA,2019,NELA-GT-2018: A large multi-labelled news dataset for the study of misinformation in news articles,"Nørregaard, Jeppe",NELA-2018,English,U.S,U/A,U/A,U/A,U/A,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",08/12/2023,Yes
74,fan-etal-2019-plain,2019,In plain sight: Media bias through the lens of factual reporting,"Fan, L.",BASIL,English,U.S,U/A,U/A,U/A,U/A,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",13/11/2023,Yes
75,li-goldwasser-2019-encoding,2019,Encoding social information with graph convolutional networks for{P}olitical perspective detection in news media,"Li, C.",Allsides,English,U.S,U/A,U/A,U/A,U/A,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",03/12/2023,Yes
76,kulkarni_multi-view_2018,2018,Multi-view models for political ideology detection of news articles,"Kulkarni, V.",Own,English,U.S,Other,MVDAM,0.80,0.79,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",08/12/2023,Yes
77,knauth_orwellian-times_2019,2018,Orwellian-times at {SemEval}-2019 task 4: A stylistic and content-based classifier,"Knauth, J.",Semeval-2019,English,U.S,ML,SVM,0.67,0.69,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",03/12/2023,Yes
78,baly-etal-2018-predicting,2018,Predicting factuality of reporting and bias of news media sources,"Baly, R.",MBCF,English,U.S,U/A,U/A,U/A,U/A,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",08/12/2023,Yes
79,Horne_News,2018,Sampling the news producers: {A} large news and feature data set for the study of the complex media landscape,"Horne, B.D.",NELA-2017,English,U.S,U/A,U/A,U/A,U/A,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",07/12/2023,Yes
80,Lim2018UnderstandingCO,2018,Understanding characteristics of biased sentences in news articles,"Jeong Lim, S.",Own,English,U.S,U/A,U/A,U/A,U/A,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",08/12/2023,Yes
81,baumer-etal-2015-testing,2015,Testing and comparing computational approaches for identifying the language of framing in political news,"Baumer, E.",Own,English,U.S,U/A,U/A,U/A,U/A,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",08/12/2023,Yes
