key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-1120387415,Computational Assessment of Hyperpartisanship in News Titles,2023,,,arXiv preprint arXiv:2301.06270,,,,,"Lyu, Hanjia and Pan, Jinsheng and Wang, Zichen and Luo, Jiebo",,,,,,included,,,,
rayyan-1120387416,Semisupervised Federated Learning for Temporal News Hyperpatism Detection,2023,,,IEEE Transactions on Computational Social Systems,,,,,"Ahmed, Usman and Lin, Jerry Chun-Wei and Srivastava, Gautam",,,IEEE,,,included,,Learning,,
rayyan-1120387417,Blowing on the Fire: An Analysis of Low Quality and Hyper Partisan News Sources Circulated by Coordinated Link Sharing Networks in Nigeria,2022,,,Available at SSRN 4162030,,,,,"Giglietto, Fabio and Olaniran, Samuel and Mincigrucci, Roberto and Marino, Giada and Mottola, Serena and Terenzi, Massimo",,,,,,other_method,,Nigeria,,
rayyan-1120387418,We can detect your bias: Predicting the political ideology of news articles,2020,,,arXiv preprint arXiv:2010.05338,,,,,"Baly, Ramy and Martino, Giovanni Da San and Glass, James and Nakov, Preslav",,,,,,included,,Bias (Epidemiology),,
rayyan-1120387419,Bias Bubbles: Using Semi-Supervised Learning to Measure How Many Biased News Articles Are Around Us. - AICS - AICS,2021,,,,,,,153--164,"Ruan, Qin and Mac Namee, Brian and Dong, Ruihai",,,,,,included,,Bias (Epidemiology),,
rayyan-1120387420,Fake and Hyper-partisan News Identification. - RoCHI - RoCHI,2019,,,,,,,60--67,"Dumitru, Vlad Cristian and Rebedea, Traian",,,,,,included,,,,
rayyan-1120387421,Brenda starr at SemEval-2019 task 4: hyperpartisan news detection - Proceedings of the 13th International Workshop on Semantic Evaluation - Proceedings of the 13th International Workshop on Semantic Evaluation,2019,,,,,,,924--928,"Papadopoulou, Olga and Kordopatis-Zilos, Giorgos and Zampoglou, Markos and Papadopoulos, Symeon and Kompatsiaris, Yiannis",,,,,,duplicate,,Semantics,,
rayyan-1120387422,From Fake to Hyperpartisan News Detection Using Domain Adaptation,2023,,,arXiv preprint arXiv:2308.02185,,,,,"Sm{\u{a}}du, R{\u{a}}zvan-Alex and ru and Echim, Sebastian-Vasile and Cercel, Dumitru-Clementin and Marin, Iuliana and Pop, Florin",,,,,,included,,,,
rayyan-1120387423,Classifying hyper-partisan news: Using linguistic analysis to predict the political orientation of news,2021,,,,,,,,"Groeneweg, Max",,,,,,not_pertinent_document,,,,
rayyan-1120387424,Shareworthiness and motivated reasoning in hyper-partisan news sharing behavior on Twitter,2021,,,Digital Journalism,,9,5,549--570,"Wischnewski, Magdalena and Bruns, Axel and Keller, Tobias",,,Taylor \& Francis,,,not_pertinent_data,,Motivation,,
rayyan-1120387425,CLoSE: Contrastive Learning of Subframe Embeddings for Political Bias Classification of News Media - Proceedings of the 29th International Conference on Computational Linguistics - Proceedings of the 29th International Conference on Computational Linguistics,2022,,,,,,,2780--2793,"Kim, Michelle YoungJin and Johnson, Kristen",,,,,,included,,Bias (Epidemiology),,
rayyan-1120387426,Sampling the news producers: A large news and feature data set for the study of the complex media landscape - Proceedings of the International AAAI Conference on Web and Social Media - Proceedings of the International AAAI Conference on Web and Social Media,2018,,,,,12,1,,"Horne, Benjamin and Khedr, Sara and Adali, Sibel",,,,,,not_pertinent_data,,,,
rayyan-1120387427,"Fane-kg: A semantic knowledge graph for context-based fake news detection on social media - 2020 Seventh International Conference on Social Networks Analysis, Management and Security (SNAMS) - 2020 Seventh International Conference on Social Networks Analysis, Management and Security (SNAMS)",2020,,,,,,,1--6,"Hani, Anoud Bani and Adedugbe, Oluwasegun and Al-Obeidat, Feras and Benkhelifa, Elhadj and Majdalawieh, Munir",,,,,,other_method,,Social Support;Semantics,,
rayyan-1120387428,A semantic model for context-based fake news detection on social media - 2020 IEEE/ACS 17th International Conference on Computer Systems and Applications (AICCSA) - 2020 IEEE/ACS 17th International Conference on Computer Systems and Applications (AICCSA),2020,,,,,,,1--7,"Bani-Hani, Anoud and Adedugbe, Oluwasegun and Benkhelifa, Elhadj and Majdalawieh, Munir and Al-Obeidat, Feras",,,,,,other_task,,Computer Systems;Semantics,,
rayyan-1120387429,Temporal positional lexicon expansion for federated learning based on hyperpatism detection,2023,,,Expert Systems,,40,5,e13183,"Ahmed, Usman and Lin, Jerry Chun-Wei and Srivastava, Gautam",,,Wiley Online Library,,,included,,Learning,,
rayyan-1120387430,Weakly supervised learning of nuanced frames for analyzing polarization in news media,2020,,,arXiv preprint arXiv:2009.09609,,,,,"Roy, Shamik and Goldwasser, Dan",,,,,,included,,Learning,,
rayyan-1120387431,Creating a dataset for fine-grained bias detection in news articles - Forum on Data Engineering and Information Management - Forum on Data Engineering and Information Management,2020,,,,,12,,1--35,"Lim, Sora and Jatowt, Adam and Masatoshi, Y",,,,,,included,,Bias (Epidemiology);Cereals,,
rayyan-1120387432,"Multi-modal analysis of misleading political news - Disinformation in Open Online Media: Second Multidisciplinary International Symposium, MISDOOM 2020, Leiden, The Netherlands, October 26--27, 2020, Proceedings 2 - Disinformation in Open Online Media: Second Multidisciplinary International Symposium, MISDOOM 2020, Leiden, The Netherlands, October 26--27, 2020, Proceedings 2",2020,,,,,,,261--276,"Shrestha, Anu and Spezzano, Francesca and Gurunathan, Indhumathi",,,,,,other_method,,Netherlands,,
rayyan-1120387433,Judging a Book By Its Cover: Predicting Partisanship Using Only Article Titles,2019,,,Text Analysis and Retrieval 2019 Course Project Reports,,,,40,"Liskij, Mihael and Prester, Dominik and {\v{S}}ego, Ivan",,,,,,not_pertinent_document,,,,
rayyan-1120387434,Team Harry Friberg at SemEval-2019 Task 4: Identifying Hyperpartisan News through Editorially Defined Metatopics - Proceedings of the 13th International Workshop on Semantic Evaluation - Proceedings of the 13th International Workshop on Semantic Evaluation,2019,,,,,,,1004--1006,"Afsarmanesh, Nazanin and Karlgren, Jussi and Sumbler, Peter and Viereckel, Nina",,,,,,included,,Semantics,,
rayyan-1120387435,HoaxItaly: a collection of Italian disinformation and fact-checking stories shared on Twitter in 2019,2020,,,arXiv preprint arXiv:2001.10926,,,,,"Pierri, Francesco and Artoni, Aless and ro and Ceri, Stefano",,,,,,included,,,,
rayyan-1120387436,An Automated News Bias Classifier Using Caenorhabditis Elegans Inspired Recursive Feedback Network Architecture,2022,,,arXiv preprint arXiv:2207.12724,,,,,"Sridharan, Agastya and others",,,,,,included,,Feedback;Bias (Epidemiology),,
rayyan-1120387437,POLITICS: pretraining with same-story article comparison for ideology prediction and stance detection,2022,,,arXiv preprint arXiv:2205.00619,,,,,"Liu, Yujian and Zhang, Xinliang Frederick and Wegsman, David and Beauchamp, Nick and Wang, Lu",,,,,,included,,,,
rayyan-1120387438,Duluth at SemEval-2019 Task 4: The Pioquinto Manterola Hyperpartisan News Detector - Proceedings of the 13th International Workshop on Semantic Evaluation - Proceedings of the 13th International Workshop on Semantic Evaluation,2019,,,,,,,949--953,"Sengupta, Saptarshi and Pedersen, Ted",,,,,,included,,Semantics,,
rayyan-1120387439,NELA-GT-2018: A large multi-labelled news dataset for the study of misinformation in news articles - Proceedings of the international AAAI conference on web and social media - Proceedings of the international AAAI conference on web and social media,2019,,,,,13,,630--638,"N{\o}rregaard, Jeppe and Horne, Benjamin D and Adal{\i}, Sibel",,,,,,included,,,,
rayyan-1120387440,Frank at checkthat! 2023: Detecting the political bias of news articles and news media,2023,,,Working Notes of CLEF,,,,,"Azizov, Dilshod and Liang, S and Nakov, P",,,,,,included,,Bias (Epidemiology),,
rayyan-1120387441,"On sentence representations for propaganda detection: From handcrafted features to word embeddings - Proceedings of the Second Workshop on Natural Language Processing for Internet Freedom: Censorship, Disinformation, and Propaganda - Proceedings of the Second Workshop on Natural Language Processing for Internet Freedom: Censorship, Disinformation, and Propaganda",2019,,,,,,,107--112,"Cruz, Andr{\'e} Ferreira and Rocha, Gil and Cardoso, Henrique Lopes",,,,,,other_task,,Propaganda;Internet,,
rayyan-1120387442,Detecting Political Bias in Speeches and News Articles Final Report,,,,,,,,,"Angle, Sachi and Tech, Cornell and Ganesh, Varun and Gheissari, Pargol and Schiller, Rina and Sempere, Nicolas",,,,,,not_pertinent_document,,Bias (Epidemiology);Speech,,
rayyan-1120387443,Amfb: Attention based multimodal factorized bilinear pooling for multimodal fake news detection,2021,,,Expert Systems with Applications,,184,,115412,"Kumari, Rina and Ekbal, Asif",,,Elsevier,,,other_task,,,,
rayyan-1120387444,Multimodal Approaches based on Fake News Detection - 2023 Third International Conference on Artificial Intelligence and Smart Energy (ICAIS) - 2023 Third International Conference on Artificial Intelligence and Smart Energy (ICAIS),2023,,,,,,,751--755,"Reddy, B and i Sravani and Kumar, AP Siva",,,,,,other_method,,Intelligence,,
rayyan-1120387445,Overview of the CLEF-2023 CheckThat! lab task 3 on political bias of news articles and news media,2023,,,Working Notes of CLEF,,,,,"Da San Martino, Giovanni and Alam, Firoj and Hasanain, Maram and N and i, Rabindra Nath and Azizov, Dilshod and Nakov, Preslav",,,,,,not_pertinent_document,,Bias (Epidemiology),,
rayyan-1120387446,Publishers/sources (Disinformation),2021,,,DOCA-Database of Variables for Content Analysis,,,,,"Staender, Anna and Humprecht, Edda",,,,,,not_pertinent,,,,
rayyan-1120387447,Role of ELMo Embedding in Detecting Fake News on Social Media - 2022 11th International Conference on System Modeling \& Advancement in Research Trends (SMART) - 2022 11th International Conference on System Modeling \& Advancement in Research Trends (SMART),2022,,,,,,,57--60,"Garg, Sonal and Sharma, Dilip Kumar",,,,,,included,,,,
rayyan-1120387448,Topic-based Models with Fact Checking for Fake News Identification. - RoCHI - RoCHI,2022,,,,,,,1--5,"Devi, T and Jaisharma, K and Deepa, N",,,,,,other_task,,Neural Networks (Computer);Nerve Net;Intelligence,,
rayyan-1120387449,Writer movements between news outlets reflect political polarization in media,2023,,,new media \& society,,25,8,2034--2056,"Hagar, Nick and Wachs, Johannes and Horv{\'a}t, Em{\H{o}}ke-{\'A}gnes",,,"SAGE Publications Sage UK: London, England",,,not_pertinent,,Movement,,
rayyan-1120387450,Understanding Political Polarisation using Language Models: A dataset and method,2023,,,arXiv preprint arXiv:2301.00891,,,,,"Gode, Samiran and Bare, Supreeth and Raj, Bhiksha and Yoo, Hyungon",,,,,,not_pertinent_document,,,,
rayyan-1120387451,Topic-based Models with Fact Checking for Fake News Identification. - RoCHI - RoCHI,2021,,,,,,,182--190,"Dumitru, Vlad Cristian and Rebedea, Traian",,,,,,included,,,,
rayyan-1120387452,Assessing Italian disinformation spread on Twitter during the 2019 European elections,2019,,,,,,,,"Artoni, Aless and ro",,,Italy,,,not_pertinent_data,,,,
rayyan-1120387453,How biased are American media outlets? A framework for presentation bias regression,2020,,,"Proceedings - 2020 IEEE International Conference on Big Data, Big Data 2020",,,,4359-4364,"Tran, M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103814921&doi=10.1109%2fBigData50022.2020.9377987&partnerID=40&md5=e1fe4b87888e4ff379f1901fe3d514ec,,,,"Media bias is a pressing issue in our society that can increase political polarization. To address the issue, previous studies mainly develop supervised learning models to identify bias at the article level, which not only requires expensive data collection but also careful features selection. An alternative approach to combat media bias focuses on the source level, which can help news aggregators promptly filter unreliable news based on their sources. Despite being a promising approach, the detection of biases at the source level remains largely unexplored. In this study, we propose a novel unsupervised framework to estimate presentation bias of news sources. The framework first uses a retrieval engine to form groups of related articles, then constructs pairwise biases between news sources using Aspect-based Sentiment Analysis (ABSA) and finally, assigns bias scores for each source with a graph-based algorithm. Using a dataset of approximately 83K articles from 14 news sources, we validate the results of our framework with 3 benchmarks and find that our approach can provide reliable bias ratings, with a Pearson correlation coefficient of up to 0.92. We further discuss the possibility of extending the framework to identify selection bias. © 2020 IEEE.",included,10.1109/BigData50022.2020.9377987,media bias;politics;sentiment analysis;Correlation methods;Graph algorithms;Graphic methods;Sentiment analysis;Data collection;Features selection;Graph-based algorithms;News aggregators;Pearson correlation coefficients;Presentation bias;Retrieval engines;Selection bias;Big data;Bias (Epidemiology),,
rayyan-1120387454,UPB at SemEval-2020 Task 11: Propaganda Detection with Domain-Specific Trained BERT,2020,,,"14th International Workshops on Semantic Evaluation, SemEval 2020 - co-located 28th International Conference on Computational Linguistics, COLING 2020, Proceedings",,,,1853-1857,"Paraschiv, A. and Cercel, D.-C. and Dascalu, M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106134200&partnerID=40&md5=34a05bbbba293c797cd48e4f9ea51963,,,,"Manipulative and misleading news have become a commodity for some online news outlets and these news have gained a significant impact on the global mindset of people. Propaganda is a frequently employed manipulation method having as goal to influence readers by spreading ideas meant to distort or manipulate their opinions. This paper describes our participation in the SemEval-2020, Task 11: Detection of Propaganda Techniques in News Articles competition. Our approach considers specializing a pre-trained BERT model on propagandistic and hyperpartisan news articles, enabling it to create more adequate representations for the two subtasks, namely propaganda Span Identification (SI) and propaganda Technique Classification (TC). Our proposed system achieved a F1-score of 46.060% in subtask SI, ranking 5th in the leaderboard from 36 teams and a micro-averaged F1 score of 54.302% for subtask TC, ranking 19th from 32 teams. © 2020 14th International Workshops on Semantic Evaluation, SemEval 2020 - co-located 28th International Conference on Computational Linguistics, COLING 2020, Proceedings. All rights reserved.",other_task,,Classification (of information);Computational linguistics;Domain specific;F1 scores;Manipulation methods;News articles;Online news;Subtask;Semantics;Propaganda,,
rayyan-1120387455,UBC-NLP at SemEval-2019 task 4: Hyperpartisan news detection with attention-based Bi-LSTMs,2019,,,"NAACL HLT 2019 - International Workshop on Semantic Evaluation, SemEval 2019, Proceedings of the 13th Workshop",,,,1072-1077,"Zhang, C. and Rajendran, A. and Abdul-Mageed, M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118595407&partnerID=40&md5=8389fc6fe1a41ad41279d7e33b7503a3,,,,"We present our deep learning models submitted to the SemEval-2019 Task 4 competition focused at Hyperpartisan News Detection. We acquire best results with a Bi-LSTM network equipped with a self-attention mechanism. Among 33 participating teams, our submitted system ranks top 7 (65.3% accuracy) on the labels-by-publisher sub-task and top 24 out of 44 teams (68.3% accuracy) on the labels-by-article sub-task (65.3% accuracy). We also report a model that scores higher than the 8th ranking system (78.5% accuracy) on the labels-by-article sub-task. © 2019 Association for Computational Linguistics",included,,Semantics;Attention mechanisms;Learning models;Participating teams;Ranking system;Subtask;Long short-term memory,,
rayyan-1120387457,A stylometric inquiry into hyperpartisan and fake news,2018,,,"ACL 2018 - 56th Annual Meeting of the Association for Computational Linguistics, Proceedings of the Conference (Long Papers)",,1,,231-240,"Potthast, M. and Kiesel, J. and Reinartz, K. and Bevendorff, J. and Stein, B.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063109511&doi=10.18653%2fv1%2fp18-1022&partnerID=40&md5=6799a33d249157cc3a119ea9a609e9c3,,,,"We report on a comparative style analysis of hyperpartisan (extremely one-sided) news and fake news. A corpus of 1,627 articles from 9 political publishers, three each from the mainstream, the hyperpartisan left, and the hyperpartisan right, have been fact-checked by professional journalists at BuzzFeed: 97% of the 299 fake news articles identified are also hyperpartisan. We show how a style analysis can distinguish hyperpartisan news from the mainstream (F1 = 0.78), and satire from both (F1 = 0.81). But stylometry is no silver bullet as style-based fake news detection does not work (F1 = 0.46). We further reveal that left-wing and right-wing news share significantly more stylistic similarities than either does with the mainstream. This result is robust: it has been confirmed by three different modeling approaches, one of which employs Unmasking in a novel way. Applications of our results include partisanship detection and pre-screening for semi-automatic fake news detection. © 2018 Association for Computational Linguistics",included,10.18653/v1/p18-1022,Model approach;News articles;Semi-automatics;Stylistic similarity;Stylometry;Computational linguistics,,
rayyan-1120387458,Masking and Transformer-based Models for Hyperpartisanship Detection in News,2021,,,"International Conference Recent Advances in Natural Language Processing, RANLP",,,,1244-1251,"Sánchez-Junquera, J. and Rosso, P. and Montes-Y-Gómez, M. and Ponzetto, S.P.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123606605&doi=10.26615%2f978-954-452-072-4_140&partnerID=40&md5=04404f1d0eb3e05f7c77dd6f7ca3e562,,,,"Hyperpartisan news show an extreme manipulation of reality based on an underlying and extreme ideological orientation. Because of its harmful effects at reinforcing one's bias and the posterior behavior of people, hyperpartisan news detection has become an important task for computational linguists. In this paper, we evaluate two different approaches to detect hyperpartisan news. First, a text masking technique that allows us to compare style vs. topic-related features in a different perspective from previous work. Second, the transformer-based models BERT, XLM-RoBERTa, and M-BERT, known for their ability to capture semantic and syntactic patterns in the same representation. Our results corroborate previous research on this task in that topic-related features yield better results than style-based ones, although they also highlight the relevance of using higher-length n-grams. Furthermore, they show that transformer-based models are more effective than traditional methods, but this at the cost of greater computational complexity and lack of transparency. Based on our experiments, we conclude that the beginning of the news show relevant information for the transformers at distinguishing effectively between left-wing, mainstream, and right-wing orientations. © 2021 Incoma Ltd. All rights reserved.",included,10.26615/978-954-452-072-4_140,Harmful effects;Masking technique;N-grams;Semantic pattern;Syntactic patterns;Semantics,,
rayyan-1120387459,Creation of Polish Online News Corpus for Political Polarization Studies,2022,,,"1st Workshop on Natural Language Processing for Political Sciences, PoliticalNLP 2022 - Proceedings, as part of the 13th Edition of the Language Resources and Evaluation Conference, LREC 2022",,,,86-90,"Szwoch, J. and Staszkow, M. and Rzepka, R. and Araki, K.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145964536&partnerID=40&md5=e4f8bb02d0beedb8627f147acf8a9720,,,,"In this paper we describe a Polish news corpus as an attempt to create a filtered, organized and representative set of texts coming from contemporary online press articles from two major Polish TV news providers: commercial TVN24 and state-owned TVP Info. The process consists of web scraping, data cleaning and formatting. A random sample was selected from prepared data to perform a classification task. The random forest achieved the best prediction results out of all considered models. We believe that this dataset is a valuable contribution to existing Polish language corpora as online news are considered to be formal and relatively mistake-free, therefore, a reliable source of correct written language, unlike other online platforms such as blogs or social media. Furthermore, to our knowledge, such corpus from this period of time has not been created before. In the future we would like to expand this dataset with articles coming from other online news providers, repeat the classification task on a bigger scale, utilizing other algorithms. Our data analysis outcomes might be a relevant basis to improve research on a political polarization and propaganda techniques in media. © 2022 European Language Resources Association (ELRA).",included,,classification;news corpus;NLP;Polish language;web scraping;Polarization;Classification tasks;Data cleaning;Data formatting;News corpora;Online news;Polarization study;Random sample;TV news;Web scrapings;Classification (of information),,
rayyan-1120387460,Spider-Jerusalem at SemEval-2019 task 4: Hyperpartisan news detection,2019,,,"NAACL HLT 2019 - International Workshop on Semantic Evaluation, SemEval 2019, Proceedings of the 13th Workshop",,,,985-989,"Alabdulkarim, A. and Alhindi, T.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118544610&partnerID=40&md5=8c3cce1f0b3e6417819a2ab570794c18,,,,"This paper describes our system for detecting hyperpartisan news articles, which was submitted for the shared task in SemEval 2019 on Hyperpartisan News Detection. We developed a Support Vector Machine (SVM) model that uses TF-IDF of tokens, Language Inquiry and Word Count (LIWC) features, and structural features such as number of paragraphs and hyperlink count in an article. The model was trained on 645 articles from two classes: mainstream and hyperpartisan. Our system was ranked seventeenth out of forty two participating teams in the binary classification task with an accuracy score of 0.742 on the blind test set (the accuracy of the top ranked system was 0.822). We provide a detailed description of our preprocessing steps, discussion of our experiments using different combinations of features, and analysis of our results and prediction errors. © 2019 Association for Computational Linguistics",included,,Classification (of information);Semantics;Support vector machines;As numbers;Binary classification;Blind test;Classification tasks;Hyperlinks;Jerusalem;News articles;Participating teams;Structural feature;Support vector machine models;Hypertext systems,,
rayyan-1120387461,On the detection of political and social bias,2021,,,CEUR Workshop Proceedings,,3030,,41-49,"Sánchez-Junquera, J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121306424&partnerID=40&md5=84240c3707c4db38c5c7b6603f35770c,,,,"Nowadays it is very easy to share, create and disseminate any kind of bias thanks to the increasing facilities of the technology. Political and social bias have a lamentable repercussion on the behaviours of people and our life quality. This research is focused on the detection of hyperpartisan news and immigrant stereotypes in political speeches. This work proposes two different explainable approaches: BERT-based models, known for their ability to capture semantic and syntactic patterns in the same representation but at the cost of great computational complexity and lack of transparency; and a masking-based model that has been recognized by its capabilities to deliver good and human-understandable results. © 2021 Copyright for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).",included,,BERT-based models;Hyperpartisan news;Immigrant stereotypes;Masking technique;Political bias;Social bias;BERT-based model;Immigrant stereotype;Life qualities;Semantic pattern;Syntactic patterns;Semantics;Bias (Epidemiology),,
rayyan-1120387462,Team Ned Leeds at SemEval-2019 task 4: Exploring language indicators of hyperpartisan reporting,2019,,,"NAACL HLT 2019 - International Workshop on Semantic Evaluation, SemEval 2019, Proceedings of the 13th Workshop",,,,1026-1031,"Stevanoski, B. and Gievska, S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118597392&partnerID=40&md5=4ec7b35e9dafe8fc5b77cbac765a8015,,,,"This paper reports an experiment carried out to investigate the relevance of several syntactic, stylistic and pragmatic features on the task of distinguishing between mainstream and partisan news articles. The results of the evaluation of different feature sets and the extent to which various feature categories could affect the performance metrics are discussed and compared. Among different combinations of features and classifiers, Random Forest classifier using vector representations of the headline and the text of the report, with the inclusion of 8 readability scores and few stylistic features yielded best result, ranking our team at the 9th place at the SemEval 2019 Hyperpartisan News Detection challenge. © 2019 Association for Computational Linguistics",included,,Classification (of information);Semantics;Features sets;News articles;Performance metrices;Random forest classifier;Vector representations;Decision trees,,
